location,lat,long,alt,year,bloom_date,bloom_doy
kyoto,35.0119831,135.6761135,44,1950,4/9/1950,99
kyoto,35.0119831,135.6761135,44,1951,4/8/1951,98
kyoto,35.0119831,135.6761135,44,1952,4/14/1952,105
kyoto,35.0119831,135.6761135,44,1953,4/11/1953,101
kyoto,35.0119831,135.6761135,44,1954,4/8/1954,98
kyoto,35.0119831,135.6761135,44,1955,4/7/1955,97
kyoto,35.0119831,135.6761135,44,1956,4/8/1956,99
kyoto,35.0119831,135.6761135,44,1957,4/13/1957,103
kyoto,35.0119831,135.6761135,44,1958,4/9/1958,99
kyoto,35.0119831,135.6761135,44,1959,4/2/1959,92
kyoto,35.0119831,135.6761135,44,1960,4/4/1960,95
kyoto,35.0119831,135.6761135,44,1961,4/9/1961,99
kyoto,35.0119831,135.6761135,44,1962,4/12/1962,102
kyoto,35.0119831,135.6761135,44,1963,4/11/1963,101
kyoto,35.0119831,135.6761135,44,1964,4/8/1964,99
kyoto,35.0119831,135.6761135,44,1965,4/20/1965,110
kyoto,35.0119831,135.6761135,44,1966,4/7/1966,97
kyoto,35.0119831,135.6761135,44,1967,4/7/1967,97
kyoto,35.0119831,135.6761135,44,1968,4/8/1968,99
kyoto,35.0119831,135.6761135,44,1969,4/11/1969,101
kyoto,35.0119831,135.6761135,44,1970,4/17/1970,107
kyoto,35.0119831,135.6761135,44,1971,4/8/1971,98
kyoto,35.0119831,135.6761135,44,1972,4/8/1972,99
kyoto,35.0119831,135.6761135,44,1973,4/7/1973,97
kyoto,35.0119831,135.6761135,44,1974,4/9/1974,99
kyoto,35.0119831,135.6761135,44,1975,4/10/1975,100
kyoto,35.0119831,135.6761135,44,1976,4/8/1976,99
kyoto,35.0119831,135.6761135,44,1977,4/3/1977,93
kyoto,35.0119831,135.6761135,44,1978,4/14/1978,104
kyoto,35.0119831,135.6761135,44,1979,4/7/1979,97
kyoto,35.0119831,135.6761135,44,1980,4/11/1980,102
kyoto,35.0119831,135.6761135,44,1981,4/9/1981,99
kyoto,35.0119831,135.6761135,44,1982,4/3/1982,93
kyoto,35.0119831,135.6761135,44,1983,4/9/1983,99
kyoto,35.0119831,135.6761135,44,1984,4/18/1984,109
kyoto,35.0119831,135.6761135,44,1985,4/9/1985,99
kyoto,35.0119831,135.6761135,44,1986,4/12/1986,102
kyoto,35.0119831,135.6761135,44,1987,4/5/1987,95
kyoto,35.0119831,135.6761135,44,1988,4/15/1988,106
kyoto,35.0119831,135.6761135,44,1989,4/3/1989,93
kyoto,35.0119831,135.6761135,44,1990,3/29/1990,88
kyoto,35.0119831,135.6761135,44,1991,4/7/1991,97
kyoto,35.0119831,135.6761135,44,1992,4/3/1992,94
kyoto,35.0119831,135.6761135,44,1993,4/7/1993,97
kyoto,35.0119831,135.6761135,44,1994,4/9/1994,99
kyoto,35.0119831,135.6761135,44,1995,4/9/1995,99
kyoto,35.0119831,135.6761135,44,1996,4/12/1996,103
kyoto,35.0119831,135.6761135,44,1997,4/7/1997,97
kyoto,35.0119831,135.6761135,44,1998,4/1/1998,91
kyoto,35.0119831,135.6761135,44,1999,4/4/1999,94
kyoto,35.0119831,135.6761135,44,2000,4/9/2000,100
kyoto,35.0119831,135.6761135,44,2001,4/6/2001,96
kyoto,35.0119831,135.6761135,44,2002,4/1/2002,91
kyoto,35.0119831,135.6761135,44,2003,4/8/2003,98
kyoto,35.0119831,135.6761135,44,2004,4/1/2004,92
kyoto,35.0119831,135.6761135,44,2005,4/9/2005,99
kyoto,35.0119831,135.6761135,44,2006,4/8/2006,98
kyoto,35.0119831,135.6761135,44,2007,4/7/2007,97
kyoto,35.0119831,135.6761135,44,2008,4/4/2008,95
kyoto,35.0119831,135.6761135,44,2009,4/5/2009,95
kyoto,35.0119831,135.6761135,44,2010,4/5/2010,95
kyoto,35.0119831,135.6761135,44,2011,4/9/2011,99
kyoto,35.0119831,135.6761135,44,2012,4/10/2012,101
kyoto,35.0119831,135.6761135,44,2013,4/3/2013,93
kyoto,35.0119831,135.6761135,44,2014,4/4/2014,94
kyoto,35.0119831,135.6761135,44,2015,4/3/2015,93
kyoto,35.0119831,135.6761135,44,2016,4/4/2016,95
kyoto,35.0119831,135.6761135,44,2017,4/9/2017,99
kyoto,35.0119831,135.6761135,44,2018,3/30/2018,89
kyoto,35.0119831,135.6761135,44,2019,4/5/2019,95
kyoto,35.0119831,135.6761135,44,2020,4/1/2020,92
kyoto,35.0119831,135.6761135,44,2021,3/26/2021,85
