location,lat,long,alt,year,bloom_date,bloom_doy
liestal,47.4814,7.730519,350,1950,4/10/1950,100
liestal,47.4814,7.730519,350,1951,4/18/1951,108
liestal,47.4814,7.730519,350,1952,4/11/1952,102
liestal,47.4814,7.730519,350,1953,4/6/1953,96
liestal,47.4814,7.730519,350,1954,4/26/1954,116
liestal,47.4814,7.730519,350,1955,4/26/1955,116
liestal,47.4814,7.730519,350,1956,4/27/1956,118
liestal,47.4814,7.730519,350,1957,3/25/1957,84
liestal,47.4814,7.730519,350,1958,4/25/1958,115
liestal,47.4814,7.730519,350,1959,4/2/1959,92
liestal,47.4814,7.730519,350,1960,4/3/1960,94
liestal,47.4814,7.730519,350,1961,3/20/1961,79
liestal,47.4814,7.730519,350,1962,4/25/1962,115
liestal,47.4814,7.730519,350,1963,4/24/1963,114
liestal,47.4814,7.730519,350,1964,4/16/1964,107
liestal,47.4814,7.730519,350,1965,4/12/1965,102
liestal,47.4814,7.730519,350,1966,4/8/1966,98
liestal,47.4814,7.730519,350,1967,4/4/1967,94
liestal,47.4814,7.730519,350,1968,4/12/1968,103
liestal,47.4814,7.730519,350,1969,4/23/1969,113
liestal,47.4814,7.730519,350,1970,4/24/1970,114
liestal,47.4814,7.730519,350,1971,4/17/1971,107
liestal,47.4814,7.730519,350,1972,4/6/1972,97
liestal,47.4814,7.730519,350,1973,4/29/1973,119
liestal,47.4814,7.730519,350,1974,4/2/1974,92
liestal,47.4814,7.730519,350,1975,4/18/1975,108
liestal,47.4814,7.730519,350,1976,4/11/1976,102
liestal,47.4814,7.730519,350,1977,3/21/1977,80
liestal,47.4814,7.730519,350,1978,4/18/1978,108
liestal,47.4814,7.730519,350,1979,4/15/1979,105
liestal,47.4814,7.730519,350,1980,4/13/1980,104
liestal,47.4814,7.730519,350,1981,4/2/1981,92
liestal,47.4814,7.730519,350,1982,4/18/1982,108
liestal,47.4814,7.730519,350,1983,4/11/1983,101
liestal,47.4814,7.730519,350,1984,4/19/1984,110
liestal,47.4814,7.730519,350,1985,4/16/1985,106
liestal,47.4814,7.730519,350,1986,5/1/1986,121
liestal,47.4814,7.730519,350,1987,4/22/1987,112
liestal,47.4814,7.730519,350,1988,4/17/1988,108
liestal,47.4814,7.730519,350,1989,3/28/1989,87
liestal,47.4814,7.730519,350,1990,3/16/1990,75
liestal,47.4814,7.730519,350,1991,4/4/1991,94
liestal,47.4814,7.730519,350,1992,4/11/1992,102
liestal,47.4814,7.730519,350,1993,4/11/1993,101
liestal,47.4814,7.730519,350,1994,3/23/1994,82
liestal,47.4814,7.730519,350,1995,4/3/1995,93
liestal,47.4814,7.730519,350,1996,4/18/1996,109
liestal,47.4814,7.730519,350,1997,3/22/1997,81
liestal,47.4814,7.730519,350,1998,3/31/1998,90
liestal,47.4814,7.730519,350,1999,4/4/1999,94
liestal,47.4814,7.730519,350,2000,4/1/2000,92
liestal,47.4814,7.730519,350,2001,3/30/2001,89
liestal,47.4814,7.730519,350,2002,3/18/2002,77
liestal,47.4814,7.730519,350,2003,4/2/2003,92
liestal,47.4814,7.730519,350,2004,4/1/2004,92
liestal,47.4814,7.730519,350,2005,4/5/2005,95
liestal,47.4814,7.730519,350,2006,4/21/2006,111
liestal,47.4814,7.730519,350,2007,4/4/2007,94
liestal,47.4814,7.730519,350,2008,3/29/2008,89
liestal,47.4814,7.730519,350,2009,4/10/2009,100
liestal,47.4814,7.730519,350,2010,4/8/2010,98
liestal,47.4814,7.730519,350,2011,3/31/2011,90
liestal,47.4814,7.730519,350,2012,4/2/2012,93
liestal,47.4814,7.730519,350,2013,4/17/2013,107
liestal,47.4814,7.730519,350,2014,3/25/2014,84
liestal,47.4814,7.730519,350,2015,4/11/2015,101
liestal,47.4814,7.730519,350,2016,4/6/2016,97
liestal,47.4814,7.730519,350,2017,3/26/2017,85
liestal,47.4814,7.730519,350,2018,4/8/2018,98
liestal,47.4814,7.730519,350,2019,3/27/2019,86
liestal,47.4814,7.730519,350,2020,3/17/2020,77
liestal,47.4814,7.730519,350,2021,3/28/2021,87
