Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,-0.44,3.43,6.11,7.21,14.43,18.68,20.28,17.91,13.78,9.03,4.63,-0.97
1951,1.68,2.28,3.73,8.21,11.83,15.48,17.68,17.01,15.08,8.23,6.1,0.96
1952,-0.54,-0.59,5.63,10.56,13.43,17.18,20.51,18.36,11.28,8.23,2.93,0.48
1953,-2.27,-0.07,5.53,9.71,14.28,14.83,17.78,17.23,14.71,10.33,3.91,2.56
1954,-2.39,-1.09,5.76,6.91,11.71,16.18,15.56,15.81,14.48,9.56,5.08,3.1
1955,0.46,0.56,2.78,8.68,11.76,15.68,17.48,16.63,13.68,7.88,3.33,3.43
1956,1.58,-5.77,4.16,6.83,13.18,13.81,17.06,15.14,14.93,7.83,2.61,1.53
1957,-1.17,4.3,7.98,8.61,10.21,16.26,17.68,15.81,13.38,9.03,4.83,0.58
1958,0.08,3.66,1.56,6.01,14.48,15.18,17.78,17.78,15.71,8.73,4.48,2.5
1959,0.08,1.28,7.13,9.46,13.33,16.38,19.76,17.26,15.28,8.86,3.33,2.7
1960,-0.22,2.13,6.06,8.51,13.63,16.83,15.38,16.33,12.36,8.78,6.1,0.86
1961,0.2,4.85,6.71,11.26,11.26,16.16,16.28,16.76,17.63,10.56,4.01,1.46
1962,1.68,0.68,1.54,8.56,10.56,15.18,16.74,18.34,13.98,9.53,2.31,-2.36
1963,-5.46,-3.89,3.76,9.46,11.81,15.43,18.31,15.83,14.36,8.93,7.35,-1.89
1964,-2.12,2.46,3.14,9.53,14.03,17.11,19.38,16.73,14.66,7.76,5.43,0.23
1965,0.83,-1.99,4.16,7.28,11.68,15.96,15.91,15.81,12.26,8.93,3.58,2.88
1966,-2.07,5.58,3.86,9.96,13.11,16.76,15.66,15.58,14.98,11.76,2.03,1.68
1967,-0.02,2.73,5.98,7.41,12.21,14.96,19.31,16.88,13.73,11.6,4.58,-0.57
1968,-0.72,1.96,5.11,9.51,11.46,15.48,16.86,15.56,13.23,11.06,4.28,-0.32
1969,0.73,-1.07,3.98,7.81,13.51,13.98,18.56,16.41,14.66,9.96,4.98,-2.86
1970,-0.22,1.08,2.18,6.28,11.43,16.93,16.96,17.31,14.68,8.83,6,-0.37
1971,-1.54,1.08,1.28,10.36,13.88,14.26,19.01,18.26,13.18,9.83,3.33,1.83
1972,-0.12,3.16,6.18,7.88,11.46,14.36,17.21,16.28,10.96,7.73,4.61,0.31
1973,-0.52,0.61,3.78,5.88,13.43,16.53,17.21,18.78,15.13,8.08,3.93,0.36
1974,3.23,3.36,6.66,8.43,11.68,14.48,16.91,18.18,13.71,5.43,4.7,4.08
1975,3.55,2.08,3.91,8.08,12.18,14.61,18.01,18.08,15.83,7.91,4.31,0.38
1976,1.18,1.71,3.58,8.13,13.61,18.43,19.36,16.08,12.68,10.28,4.73,-0.52
1977,0.85,4.43,7.36,6.84,11.73,15.03,17.11,15.76,12.71,10.66,4.96,1.98
1978,0.48,0.31,5.43,7.33,11.13,14.68,16.56,15.86,13.58,8.86,3.58,2
1979,-1.47,1.96,5.33,6.73,12.28,16.31,17.28,15.71,14.26,10.18,4.16,3.55
1980,-0.92,3.48,4.76,6.58,10.86,14.21,15.28,17.81,15.13,8.43,3.18,-0.22
1981,-1.27,-0.27,7.7,9.51,12.26,15.84,16.63,17.48,14.68,9.18,4.38,0.46
1982,0.04,1.11,4.43,7.56,12.98,16.88,19.41,17.01,16.26,9.46,6.08,2.76
1983,2.75,-0.49,5.48,8.93,10.68,16.98,21.83,18.53,14.88,9.86,3.86,1.23
1984,0.9,0.21,2.86,7.48,9.91,15.09,17.89,17.31,13.08,10.36,6.18,1.91
1985,-4.76,-0.19,3.43,8.78,12.56,14.34,19.06,17.34,15.68,9.84,1.74,3.33
1986,0.76,-4.31,3.86,6.58,14.44,16.48,17.86,17.26,13.91,10.78,5.68,1.78
1987,-3.54,1.08,1.94,9.66,10.14,14.46,18.06,17.28,16.98,10.63,5.31,2.51
1988,3.43,2.11,4.21,9.33,13.96,15.68,17.76,18.18,14.28,11.01,3.16,3.05
1989,1.48,3.11,8.06,7.58,14.46,15.54,18.76,18.08,14.58,10.58,3.26,2.66
1990,1.1,6.3,7.48,7.66,14.68,15.46,18.36,19.03,13.71,11.36,4.76,0.36
1991,1.28,-1.09,7.31,7.51,10.06,14.74,19.81,19.78,16.58,8.71,4.33,0.23
1992,0.06,2.33,5.91,8.68,14.81,15.93,18.93,20.43,14.51,7.73,6.48,1.66
1993,3.08,0.26,4.51,10.3,14.16,16.78,17.01,17.86,13.21,8.41,1.94,3.55
1994,2.3,2.06,8.78,7.58,13.18,16.88,21.23,19.16,14.03,9.43,7.98,3.83
1995,0.48,5.1,3.96,9.11,12.81,14.66,20.63,17.91,12.23,12.78,4.18,0.58
1996,0.46,-0.12,3.24,9.31,12.24,17.14,17.16,17.01,11.58,9.66,4.83,0.16
1997,-1.16,4.46,7.58,7.94,13.48,15.68,17.08,19.63,15.58,10.18,5.03,2.58
1998,1.98,3.71,5.86,8.51,14.38,17.06,18.34,18.51,13.83,9.76,2.01,1.28
1999,2.23,0.48,6.21,9.11,14.98,15.56,19.11,18.01,16.76,9.81,3.08,1.9
2000,0.58,4.06,6.06,9.91,14.98,18.04,16.14,19.01,15.31,10.71,6,4.13
2001,1.8,3.51,7.21,7.44,15.31,15.44,18.78,19.28,11.96,13.11,3.46,0.03
2002,0.48,5.38,6.86,9.08,12.96,18.96,18.16,17.68,13.48,10.11,6.83,3.78
2003,0.01,-0.89,7.21,9.41,14.74,19.01,20.06,21.21,14.98,7.38,5.93,1.86
2004,0.76,2.41,4.66,9.48,12.18,16.71,18.04,18.58,15.48,11.63,4.61,1.01
2005,0.66,-0.74,5.46,9.51,13.84,18.36,18.66,16.58,15.83,11.48,4.08,-0.12
2006,-1.59,0.41,3.66,9.06,13.44,17.94,22.21,15.26,17.23,12.76,7.13,3.13
2007,4.08,4.86,6.04,12.8,14.76,17.38,17.71,17.18,13.26,9.58,3.61,0.93
2008,2.98,3.76,4.94,8.16,14.96,17.26,18.28,17.84,12.86,9.96,4.93,0.76
2009,-1.62,0.88,4.86,11.53,15.46,16.74,18.76,19.76,15.58,9.56,7.2,1.18
2010,-1.66,1.13,4.78,9.91,11.64,17.06,20.44,17.26,13.34,8.91,5.26,-1.19
2011,1.16,2.81,6.61,12.41,15.24,16.88,16.46,19.04,16.58,9.91,5.86,3.63
2012,2,-2.52,8.08,8.86,14.31,17.39,18.21,19.66,14.76,10.08,6.03,2.15
2013,0.81,-0.64,3.36,9.51,11.08,16.36,20.71,18.71,15.06,11.66,4.71,2.28
2014,3.26,4.23,7.71,11.31,13.01,18.18,18.31,16.51,15.71,12.53,7.33,3.26
2015,1.78,1.21,6.51,10.26,14.01,18.18,22.24,20.21,13.73,9.43,7.28,5.36
2016,2.3,3.93,5.01,9.26,12.96,16.88,19.58,19.11,17.16,8.9,5.16,1.78
2017,-1.94,4.23,8.43,9.23,14.58,19.68,19.71,19.68,13.16,11.08,4.78,1.63
2018,4.33,-0.54,4.48,12.81,15.46,18.61,21.08,20.53,16.68,11.58,6.33,3.43
2019,0.15,4.46,7.33,9.81,11.36,19.41,20.81,19.61,15.78,12.03,5.36,3.98
2020,3.13,5.76,6.33,12.46,14.13,16.81,20.08,20.28,16.53,9.6,6.78,2.9
2021,1.4,1.9,5.8,9.9,13.9,17.9,19.7,19.4,15.3,10.8,5.4,2.1
2022,2.25,6.02,,,,,,,,,,
