location,lat,long,alt,year,bloom_date,bloom_doy
washingtondc,38.8853496,-77.0386278,0,1950,4/9/1950,99
washingtondc,38.8853496,-77.0386278,0,1951,4/6/1951,96
washingtondc,38.8853496,-77.0386278,0,1952,4/9/1952,100
washingtondc,38.8853496,-77.0386278,0,1953,3/27/1953,86
washingtondc,38.8853496,-77.0386278,0,1954,4/6/1954,96
washingtondc,38.8853496,-77.0386278,0,1955,4/2/1955,92
washingtondc,38.8853496,-77.0386278,0,1956,4/6/1956,97
washingtondc,38.8853496,-77.0386278,0,1957,4/8/1957,98
washingtondc,38.8853496,-77.0386278,0,1958,4/18/1958,108
washingtondc,38.8853496,-77.0386278,0,1959,4/6/1959,96
washingtondc,38.8853496,-77.0386278,0,1960,4/14/1960,105
washingtondc,38.8853496,-77.0386278,0,1961,4/2/1961,92
washingtondc,38.8853496,-77.0386278,0,1962,4/7/1962,97
washingtondc,38.8853496,-77.0386278,0,1963,4/3/1963,93
washingtondc,38.8853496,-77.0386278,0,1964,4/11/1964,102
washingtondc,38.8853496,-77.0386278,0,1965,4/15/1965,105
washingtondc,38.8853496,-77.0386278,0,1966,4/5/1966,95
washingtondc,38.8853496,-77.0386278,0,1967,4/6/1967,96
washingtondc,38.8853496,-77.0386278,0,1968,3/30/1968,90
washingtondc,38.8853496,-77.0386278,0,1969,4/9/1969,99
washingtondc,38.8853496,-77.0386278,0,1970,4/16/1970,106
washingtondc,38.8853496,-77.0386278,0,1971,4/8/1971,98
washingtondc,38.8853496,-77.0386278,0,1972,4/11/1972,102
washingtondc,38.8853496,-77.0386278,0,1973,4/11/1973,101
washingtondc,38.8853496,-77.0386278,0,1974,4/3/1974,93
washingtondc,38.8853496,-77.0386278,0,1975,4/3/1975,93
washingtondc,38.8853496,-77.0386278,0,1976,3/23/1976,83
washingtondc,38.8853496,-77.0386278,0,1977,3/26/1977,85
washingtondc,38.8853496,-77.0386278,0,1978,4/12/1978,102
washingtondc,38.8853496,-77.0386278,0,1979,4/2/1979,92
washingtondc,38.8853496,-77.0386278,0,1980,4/6/1980,97
washingtondc,38.8853496,-77.0386278,0,1981,4/3/1981,93
washingtondc,38.8853496,-77.0386278,0,1982,4/7/1982,97
washingtondc,38.8853496,-77.0386278,0,1983,4/7/1983,97
washingtondc,38.8853496,-77.0386278,0,1984,4/3/1984,94
washingtondc,38.8853496,-77.0386278,0,1985,4/7/1985,97
washingtondc,38.8853496,-77.0386278,0,1986,4/2/1986,92
washingtondc,38.8853496,-77.0386278,0,1987,3/28/1987,87
washingtondc,38.8853496,-77.0386278,0,1988,3/31/1988,91
washingtondc,38.8853496,-77.0386278,0,1989,3/29/1989,88
washingtondc,38.8853496,-77.0386278,0,1990,3/15/1990,74
washingtondc,38.8853496,-77.0386278,0,1991,3/29/1991,88
washingtondc,38.8853496,-77.0386278,0,1992,4/7/1992,98
washingtondc,38.8853496,-77.0386278,0,1993,4/11/1993,101
washingtondc,38.8853496,-77.0386278,0,1994,4/5/1994,95
washingtondc,38.8853496,-77.0386278,0,1995,4/2/1995,92
washingtondc,38.8853496,-77.0386278,0,1996,4/4/1996,95
washingtondc,38.8853496,-77.0386278,0,1997,3/26/1997,85
washingtondc,38.8853496,-77.0386278,0,1998,3/27/1998,86
washingtondc,38.8853496,-77.0386278,0,1999,4/5/1999,95
washingtondc,38.8853496,-77.0386278,0,2000,3/17/2000,77
washingtondc,38.8853496,-77.0386278,0,2001,4/6/2001,96
washingtondc,38.8853496,-77.0386278,0,2002,4/2/2002,92
washingtondc,38.8853496,-77.0386278,0,2003,4/2/2003,92
washingtondc,38.8853496,-77.0386278,0,2004,3/31/2004,91
washingtondc,38.8853496,-77.0386278,0,2005,4/9/2005,99
washingtondc,38.8853496,-77.0386278,0,2006,3/30/2006,89
washingtondc,38.8853496,-77.0386278,0,2007,4/1/2007,91
washingtondc,38.8853496,-77.0386278,0,2008,3/26/2008,86
washingtondc,38.8853496,-77.0386278,0,2009,4/1/2009,91
washingtondc,38.8853496,-77.0386278,0,2010,3/31/2010,90
washingtondc,38.8853496,-77.0386278,0,2011,3/29/2011,88
washingtondc,38.8853496,-77.0386278,0,2012,3/20/2012,80
washingtondc,38.8853496,-77.0386278,0,2013,4/9/2013,99
washingtondc,38.8853496,-77.0386278,0,2014,4/10/2014,100
washingtondc,38.8853496,-77.0386278,0,2015,4/10/2015,100
washingtondc,38.8853496,-77.0386278,0,2016,3/25/2016,85
washingtondc,38.8853496,-77.0386278,0,2017,3/25/2017,84
washingtondc,38.8853496,-77.0386278,0,2018,4/5/2018,95
washingtondc,38.8853496,-77.0386278,0,2019,4/1/2019,91
washingtondc,38.8853496,-77.0386278,0,2020,3/20/2020,80
washingtondc,38.8853496,-77.0386278,0,2021,3/28/2021,87
